Latitude: 1°56′58″S   -1.94933509
Longitude: 30°07′03″E   30.11758945
Distance: 2.9341 km  Bearing: 78.515°
Latitude: 1°55′54″S   -1.93165748
Longitude: 30°05′47″E   30.09637607
Distance: 2.6024 km  Bearing: 11.464°
Latitude: 1°57′31″S   -1.95860959
Longitude: 30°05′34″E   30.09288009
Distance: 0.4654 km  Bearing: 163.957°
Latitude: 1°57′27″S   -1.95755913
Longitude: 30°04′08″E   30.0689174
Distance: 2.5566 km  Bearing: 262.573°
Latitude: 1°57′20″S   -1.95562321
Longitude: 30°06′06″E   30.10158511
Distance: 1.1023 km  Bearing: 95.996°
Latitude: 1°57′11″S   -1.95308673
Longitude: 30°06′05″E   30.10147875
Distance: 1.0972 km  Bearing: 81.247°
Latitude: 1°57′08″S   -1.95216495
Longitude: 30°03′59″E   30.06647334
Distance: 2.8197 km  Bearing: 275.484°
Latitude: 1°58′28″S   -1.97450978
Longitude: 30°06′20″E   30.10562087
Distance: 2.7012 km  Bearing: 145.116°
Latitude: 1°56′52″S   -1.94767955
Longitude: 30°08′21″E   30.13915615
Distance: 5.3285 km  Bearing: 81.709°
Latitude: 1°59′24″S   -1.99004791
Longitude: 30°08′16″E   30.13774244
Distance: 6.4594 km  Bearing: 127.633°
Latitude: 1°54′23″S   -1.90627576
Longitude: 30°03′13″E   30.05356364
Distance: 6.8461 km  Bearing: 321.712°
Latitude: 1°59′46″S   -1.9960374
Longitude: 30°07′17″E   30.12132369
Distance: 5.664 km  Bearing: 144.484°
Latitude: 1°56′11″S   -1.93625723
Longitude: 30°07′07″E   30.1186888
Distance: 3.6252 km  Bearing: 55.778°
Latitude: 1°58′21″S   -1.97259837
Longitude: 30°02′34″E   30.0426984
Distance: 5.8061 km  Bearing: 249.816°
Latitude: 1°59′22″S   -1.98954352
Longitude: 30°05′28″E   30.09111449
Distance: 3.8886 km  Bearing: 180.997°
Latitude: 1°54′43″S   -1.91199864
Longitude: 30°06′14″E   30.10380564
Distance: 4.9238 km  Bearing: 15.83°
Latitude: 2°00′29″S   -2.00794106
Longitude: 30°03′32″E   30.05895702
Distance: 6.9629 km  Bearing: 211.54°
Latitude: 1°54′55″S   -1.91530618
Longitude: 30°08′21″E   30.13907428
Distance: 6.8408 km  Bearing: 50.306°
Latitude: 1°56′28″S   -1.94097336
Longitude: 30°07′42″E   30.12834419
Distance: 4.3434 km  Bearing: 69.596°
Latitude: 1°55′18″S   -1.9215386
Longitude: 30°03′16″E   30.0543836
Distance: 5.5445 km  Bearing: 311.528°
Latitude: 2°00′30″S   -2.00834908
Longitude: 30°06′53″E   30.11464031
Distance: 6.4997 km  Bearing: 156.925°
Latitude: 2°01′13″S   -2.02018698
Longitude: 30°02′14″E   30.03728552
Distance: 9.4791 km  Bearing: 219.67°
